"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","PlayerURL"
"40",NA,"2023 Grêmio","","Bruno Fabiano Alves","BRA","DF","31",27.2,899,854,43,40,0,0,4,1,0,0,0,0,751,2,3,"https://fbref.com/en/players/3e0cfaf4/Bruno-Fabiano-Alves"
"41",NA,"2023 Grêmio","","João Pedro","BRA","DF","26",23.1,1065,837,226,15,3,2,31,211,0,0,0,0,821,2,29,"https://fbref.com/en/players/31d1ed52/Joao-Pedro"
"42",NA,"2023 Grêmio","","Felipe Carballo","URU","MF","26",17.1,814,783,26,19,6,4,14,6,1,0,1,0,654,5,21,"https://fbref.com/en/players/a9af351a/Felipe-Carballo"
"43",NA,"2023 Grêmio","","Bitelo","BRA","MF,FW","23",17.2,819,768,46,21,7,3,35,10,15,1,8,0,660,5,18,"https://fbref.com/en/players/d4b69f94/Bitelo"
"44",NA,"2023 Grêmio","","Bruno Uvini","BRA","DF","31",16.1,516,497,17,17,0,1,0,0,0,0,0,0,390,2,3,"https://fbref.com/en/players/ecfe4300/Bruno-Uvini"
"45",NA,"2023 Grêmio","","João Pedro Pepê","BRA","MF","25",15.5,775,737,37,34,1,4,19,2,0,0,0,0,657,1,8,"https://fbref.com/en/players/d75471eb/Joao-Pedro-Pepe"
"46",NA,"2023 Grêmio","","Fábio","BRA","DF,MF","32",9.7,476,400,76,3,0,2,40,73,0,0,0,0,361,0,9,"https://fbref.com/en/players/bc7b4580/Fabio"
"47",NA,"2023 Grêmio","","João Pedro","ITA","FW","30",6.8,125,116,7,1,0,1,1,1,0,0,0,0,85,2,4,"https://fbref.com/en/players/81255c03/Joao-Pedro"
"48",NA,"2023 Grêmio","","Everton","BRA","FW,MF","25",13.5,410,392,16,1,0,1,13,6,8,3,1,0,322,2,13,"https://fbref.com/en/players/3b66e70c/Everton"
"49",NA,"2023 Grêmio","","Rodrigo Ely","BRA","DF","29",7.4,206,196,10,10,1,2,0,0,0,0,0,0,156,0,3,"https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely"
