"","Season","Squad","Comp","Player","Nation","Pos","Age","MP","Min_Playing_Time","Mn_per_MP_Playing_Time","Min_percent_Playing_Time","Mins_Per_90_Playing_Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team_Success","onG_Team_Success","onGA_Team_Success","Plus_Minus_Team_Success","Plus_Minus90_Team_Success","On_minus_Off_Team_Success","onxG_Team_Success_xG_","onxGA_Team_Success_xG","xGPlus_Minus_Team_Success_xG","xGPlus_Minus90_Team_Success_xG","On_minus_Off_Team_Success_xG","PlayerURL","MP_Playing_Time"
"393",NA,"2023 Fortaleza","Série A","Tomas Pochettino","ARG","MF,FW","26",NA,1991,57,58.2,22.1,26,70,1,9,18,3,1.43,24,29,-5,-0.23,-0.6,29.2,25.9,3.3,0.15,-0.12,"https://fbref.com/en/players/fb36aa6b/Tomas-Pochettino",35
"394",NA,"2023 Fortaleza","Série A","Juan Martín Lucero","ARG","FW","31",NA,2069,67,60.5,23,23,81,10,8,25,1,1.32,22,31,-9,-0.39,-1.06,26.7,28.2,-1.4,-0.06,-0.66,"https://fbref.com/en/players/18a3f871/Juan-Martin-Lucero",31
"395",NA,"2023 Fortaleza","Série A","Thiago Galhardo","BRA","FW,MF","33",NA,1876,57,54.9,20.8,20,77,6,13,25,0,1.42,23,21,2,0.1,0.15,27.7,26.2,1.5,0.07,-0.27,"https://fbref.com/en/players/766f48dd/Thiago-Galhardo",33
"396",NA,"2023 Fortaleza","Série A","José Welison","BRA","MF","27",NA,1671,64,48.9,18.6,20,78,10,6,17,9,1.54,23,22,1,0.05,0.05,24.2,20.9,3.4,0.18,-0.03,"https://fbref.com/en/players/b6cb4d16/Jose-Welison",26
"397",NA,"2023 Fortaleza","Série A","Yago Pikachu","BRA","FW,MF","30",NA,1751,47,51.2,19.5,16,80,6,21,23,0,1.46,29,25,4,0.21,0.37,27.4,22.3,5.1,0.26,0.13,"https://fbref.com/en/players/462f1e13/Yago-Pikachu",37
"398",NA,"2023 Fortaleza","Série A","Calebe","BRA","MF,FW","22",NA,1479,51,43.2,16.4,16,72,0,13,25,1,1.34,17,19,-2,-0.12,-0.26,22.4,20.3,2.2,0.13,-0.12,"https://fbref.com/en/players/c84af55e/Calebe",29
"399",NA,"2023 Fortaleza","Série A","Guilherme","BRA","FW,MF","27",NA,1414,47,41.3,15.7,16,73,3,14,18,4,1.7,25,20,5,0.32,0.5,22.5,16.8,5.7,0.36,0.28,"https://fbref.com/en/players/58649f05/Guilherme",30
"400",NA,"2023 Fortaleza","Série A","Marinho","BRA","FW,MF","32",NA,1145,55,33.5,12.7,15,71,2,6,15,0,1.29,11,13,-2,-0.16,-0.28,15.3,13.6,1.7,0.14,-0.09,"https://fbref.com/en/players/c077c735/Marinho",21
"401",NA,"2023 Fortaleza","Série A","Marcelo","BRA","DF","27",NA,1080,90,31.6,12,12,90,12,0,NA,20,1.33,12,17,-5,-0.42,-0.65,14.9,16.5,-1.6,-0.13,-0.48,"https://fbref.com/en/players/300b455d/Marcelo",12
"402",NA,"2023 Fortaleza","Série A","Lucas Sasha","BRA","MF","32",NA,1016,53,29.7,11.3,10,86,7,9,17,18,1.68,10,16,-6,-0.53,-0.79,14.2,12.1,2.1,0.19,-0.02,"https://fbref.com/en/players/2e2ec9cf/Lucas-Sasha",19
"403",NA,"2023 Fortaleza","Série A","Hércules","BRA","MF","22",NA,771,59,22.5,8.6,9,72,1,4,30,1,1.69,9,5,4,0.47,0.57,13,10.5,2.5,0.29,0.12,"https://fbref.com/en/players/eadc7b45/Hercules",13
"404",NA,"2023 Fortaleza","Série A","Imanol Machuca","ARG","FW","23",NA,679,42,19.9,7.5,6,72,1,10,25,5,1.06,8,7,1,0.13,0.13,9.8,8.2,1.6,0.21,0.02,"https://fbref.com/en/players/37747484/Imanol-Machuca",16
"405",NA,"2023 Fortaleza","Série A","Gonzalo Escobar","ARG","DF","25",NA,579,45,16.9,6.4,6,86,5,7,9,9,1.31,8,10,-2,-0.31,-0.41,8.7,9.4,-0.7,-0.11,-0.37,"https://fbref.com/en/players/12207ec1/Gonzalo-Escobar",13
"406",NA,"2023 Fortaleza","Série A","Pedro Borges","BRA","MF,FW","25",NA,566,40,16.5,6.3,6,71,2,8,17,8,1.64,9,7,2,0.32,0.35,8.5,6,2.5,0.39,0.23,"https://fbref.com/en/players/5bb699c4/Pedro-Borges",14
"407",NA,"2023 Fortaleza","Série A","Lucas Crispim","BRA","MF,DF","28",NA,488,29,14.3,5.4,5,72,1,12,11,19,0.94,4,7,-3,-0.55,-0.68,5.8,6.4,-0.7,-0.13,-0.38,"https://fbref.com/en/players/6501ff61/Lucas-Crispim",17
