"","Season","Squad","Comp","Player","Nation","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL","MP_Playing_Time"
"190",NA,"2023 Botafogo (RJ)","Série A","Daniel Borges","BRA","DF","29",1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,0,0.05,0.05,0.05,"https://fbref.com/en/players/71879f82/Daniel-Borges",NA
"191",NA,"2023 Botafogo (RJ)","Série A","Gatito Fernández","PAR","GK","34",1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/9a82f79a/Gatito-Fernandez",NA
"192",NA,"2023 Botafogo (RJ)","Série A","Diego Hernández","URU","FW","22",2,0,41,0.5,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,1,1,3,0,0,0,0,0,0.45,0,0.45,0.45,0.45,"https://fbref.com/en/players/279cc0e8/Diego-Hernandez",NA
"193",NA,"2023 Botafogo (RJ)","Série A","Kayque","BRA","MF","22",2,0,27,0.3,0,1,1,0,0,0,1,0,0,0,0.4,0.5,1,7,1,0,3.33,3.33,0,3.33,0.14,1.39,1.53,0.14,1.53,"https://fbref.com/en/players/54b980d6/Kayque",NA
"194",NA,"2023 Botafogo (RJ)","Série A","Mateo Ponte","URU","DF","19",1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/981e61c1/Mateo-Ponte",NA
"195",NA,"2023 Botafogo (RJ)","Série A","Lucas Piazon","BRA","FW","29",1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f201798c/Lucas-Piazon",NA
"196",NA,"2023 Botafogo (RJ)","Série A","Breno","BRA","MF","22",1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/083374b7/Breno",NA
"197",NA,"2023 Botafogo (RJ)","Série A","Newton","BRA","DF","23",1,0,8,0.1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,"https://fbref.com/en/players/0c0c8329/Newton",NA
"198",NA,"2023 Botafogo (RJ)","Série A","Rai","BRA","MF","20",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/2c8d3855/Rai",NA
"199",NA,"2023 Botafogo (RJ)","Série A","Douglas Borges","BRA","GK","32",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/55196057/Douglas-Borges",NA
