"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","PlayerURL"
"663",NA,"2023 Coritiba","","Marcelino Moreno","ARG","MF","28",25.6,2,35,13,37.1,1.37,0.51,0.06,0.15,21.2,5,0,0,1.9,1.9,0.05,0.1,0.1,"https://fbref.com/en/players/058c938c/Marcelino-Moreno"
"664",NA,"2023 Coritiba","","Bruno Gomes","BRA","MF","21",24.4,3,40,13,32.5,1.64,0.53,0.08,0.23,23.1,7,0,0,2.3,2.3,0.06,0.7,0.7,"https://fbref.com/en/players/76f2bbf8/Bruno-Gomes"
"665",NA,"2023 Coritiba","","Benjamín Kuscevic","CHI","DF","26",22.5,2,12,2,16.7,0.53,0.09,0.17,1,12,0,0,0,1,1,0.08,1,1,"https://fbref.com/en/players/9edddc34/Benjamin-Kuscevic"
"666",NA,"2023 Coritiba","","Henrique","BRA","DF","36",22.5,0,6,3,50,0.27,0.13,0,0,15.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5,"https://fbref.com/en/players/429163de/Henrique"
"667",NA,"2023 Coritiba","","Jamerson","BRA","DF,FW","24",21,0,17,6,35.3,0.81,0.29,0,0,28,3,0,0,0.5,0.5,0.03,-0.5,-0.5,"https://fbref.com/en/players/7910d817/Jamerson"
"668",NA,"2023 Coritiba","","Sebastián Gómez","COL","MF","26",15.9,2,13,4,30.8,0.82,0.25,0.15,0.5,19.9,1,0,0,0.8,0.8,0.06,1.2,1.2,"https://fbref.com/en/players/233de573/Sebastian-Gomez"
"669",NA,"2023 Coritiba","","Victor Luis","BRA","DF","29",17.4,2,15,2,13.3,0.86,0.11,0.13,1,26.9,5,0,0,1,1,0.06,1,1,"https://fbref.com/en/players/cc68c4d3/Victor-Luis"
"670",NA,"2023 Coritiba","","Matheus Bianqui","BRA","MF","25",15.8,2,29,8,27.6,1.84,0.51,0.07,0.25,20.3,0,0,0,1.7,1.7,0.06,0.3,0.3,"https://fbref.com/en/players/9da67b35/Matheus-Bianqui"
"671",NA,"2023 Coritiba","","Andrey Ramos do Nascimento","BRA","MF","24",12.5,1,20,6,30,1.6,0.48,0.05,0.17,30.8,6,0,0,0.7,0.7,0.03,0.3,0.3,"https://fbref.com/en/players/eb55ab5a/Andrey-Ramos-do-Nascimento"
"672",NA,"2023 Coritiba","","Willian Farias","BRA","MF","33",10.7,0,7,0,0,0.66,0,0,NA,25.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,"https://fbref.com/en/players/d1fcff2f/Willian-Farias"
"673",NA,"2023 Coritiba","","Thalisson Gabriel","BRA","DF","21",10.5,0,3,2,66.7,0.29,0.19,0,0,10.7,0,0,0,0,0,0.01,0,0,"https://fbref.com/en/players/e494b1e4/Thalisson-Gabriel"
"674",NA,"2023 Coritiba","","Islam Slimani","ALG","FW","34",9.1,3,18,8,44.4,1.98,0.88,0.17,0.38,12.8,0,0,0,2.2,2.2,0.12,0.8,0.8,"https://fbref.com/en/players/ffec9769/Islam-Slimani"
"675",NA,"2023 Coritiba","","Kaio","BRA","MF,FW","18",9.8,0,9,4,44.4,0.92,0.41,0,0,21.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,"https://fbref.com/en/players/4e232375/Kaio"
"676",NA,"2023 Coritiba","","Bruno Viana","BRA","DF","27",9,0,2,0,0,0.22,0,0,NA,16,0,0,0,0.3,0.3,0.14,-0.3,-0.3,"https://fbref.com/en/players/c5ea2dab/Bruno-Viana"
"677",NA,"2023 Coritiba","","Alef Manga","BRA","FW,MF","28",8.9,4,26,11,42.3,2.91,1.23,0.12,0.27,18.1,0,1,1,3.8,3,0.12,0.2,0,"https://fbref.com/en/players/559782c4/Alef-Manga"
"678",NA,"2023 Coritiba","","Diogo","BRA","FW,MF","26",8.4,1,17,7,41.2,2.02,0.83,0.06,0.14,12.2,0,0,0,2.7,2.7,0.16,-1.7,-1.7,"https://fbref.com/en/players/4e365f70/Diogo"
"679",NA,"2023 Coritiba","","Liziero","BRA","MF","24",6.5,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/318ecb8c/Liziero"
"680",NA,"2023 Coritiba","","Zé Roberto","BRA","FW,MF","29",5.8,1,8,3,37.5,1.38,0.52,0.13,0.33,16.2,0,0,0,0.4,0.4,0.04,0.6,0.6,"https://fbref.com/en/players/810033a1/Ze-Roberto"
"681",NA,"2023 Coritiba","","Thiago Dombroski","BRA","DF","20",5.6,0,2,0,0,0.36,0,0,NA,12.5,0,0,0,0,0,0.02,0,0,"https://fbref.com/en/players/786ba79d/Thiago-Dombroski"
"682",NA,"2023 Coritiba","","Jean Pedroso","BRA","DF","19",6.5,0,1,0,0,0.15,0,0,NA,11.1,0,0,0,0,0,0.04,0,0,"https://fbref.com/en/players/d0c5e580/Jean-Pedroso"
"683",NA,"2023 Coritiba","","Diogo Batista","BRA","DF,MF","19",5.9,0,6,2,33.3,1.02,0.34,0,0,29.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,"https://fbref.com/en/players/9bd61510/Diogo-Batista"
"684",NA,"2023 Coritiba","","Rodrigo Pinho","BRA","FW","31",4.3,0,11,5,45.5,2.57,1.17,0,0,16.8,1,0,0,0.9,0.9,0.08,-0.9,-0.9,"https://fbref.com/en/players/5db20508/Rodrigo-Pinho"
"685",NA,"2023 Coritiba","","Maurício Garcez","BRA","MF,FW","25",6.6,1,13,2,15.4,1.96,0.3,0.08,0.5,17.5,0,0,0,1.2,1.2,0.09,-0.2,-0.2,"https://fbref.com/en/players/1c060dbf/Mauricio-Garcez"
"686",NA,"2023 Coritiba","","Fransérgio","BRA","MF","32",5.9,0,8,1,12.5,1.35,0.17,0,0,21.2,0,0,0,0.6,0.6,0.08,-0.6,-0.6,"https://fbref.com/en/players/deba6b05/Fransergio"
"687",NA,"2023 Coritiba","","Luan Polli","BRA","GK","29",4.3,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/96aa89c4/Luan-Polli"
"688",NA,"2023 Coritiba","","Andreas Samaris","GRE","MF","33",2,0,1,1,100,0.49,0.49,0,0,13.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,"https://fbref.com/en/players/5af687a1/Andreas-Samaris"
"689",NA,"2023 Coritiba","","Gabriel Boschilia","BRA","MF,FW","26",3.8,1,15,5,33.3,3.92,1.31,0.07,0.2,24.1,2,0,0,1.1,1.1,0.07,-0.1,-0.1,"https://fbref.com/en/players/e90af77c/Gabriel-Boschilia"
"690",NA,"2023 Coritiba","","Hayner","BRA","DF,MF","27",3.4,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/246c7429/Hayner"
"691",NA,"2023 Coritiba","","Jhon Chancellor","VEN","DF","31",3.4,0,1,0,0,0.3,0,0,NA,14.7,0,0,0,0,0,0.02,0,0,"https://fbref.com/en/players/84b6acaa/Jhon-Chancellor"
"692",NA,"2023 Coritiba","","Pedro Luccas","BRA","GK","19",3,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/e5c4ba1f/Pedro-Luccas"
"693",NA,"2023 Coritiba","","Edu","BRA","FW,MF","29",3.6,2,10,4,40,2.81,1.13,0.2,0.5,13.4,0,0,0,2.5,2.5,0.25,-0.5,-0.5,"https://fbref.com/en/players/03cf6b3b/Edu"
"694",NA,"2023 Coritiba","","Júnior Urso","BRA","MF","33",3.3,0,7,1,14.3,2.11,0.3,0,0,19.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,"https://fbref.com/en/players/b40424f1/Junior-Urso"
"695",NA,"2023 Coritiba","","Reynaldo Cesar Moraes","BRA","DF","26",2.7,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/589d070c/Reynaldo-Cesar-Moraes"
"696",NA,"2023 Coritiba","","Maurício Antônio","BRA","DF","30",2,0,2,0,0,1,0,0,NA,30.7,0,0,0,0,0,0.02,0,0,"https://fbref.com/en/players/0bd71531/Mauricio-Antonio"
"697",NA,"2023 Coritiba","","Marcos Vinicius","BRA","DF,MF","25",1.9,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/72cacb0d/Marcos-Vinicius"
"698",NA,"2023 Coritiba","","William Pottker","BRA","FW,MF","29",1.3,0,1,1,100,0.78,0.78,0,0,22.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2,"https://fbref.com/en/players/214a16c5/William-Pottker"
"699",NA,"2023 Coritiba","","Gabriel Silva","BRA","FW,MF","20",1,0,3,0,0,2.97,0,0,NA,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,"https://fbref.com/en/players/5e38493a/Gabriel-Silva"
"700",NA,"2023 Coritiba","","Gustavo Vilar","BRA","DF","22",1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/afcfcc1e/Gustavo-Vilar"
"701",NA,"2023 Coritiba","","Lucas Barbosa","BRA","MF,FW","21",1.1,0,4,1,25,3.53,0.88,0,0,16.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,"https://fbref.com/en/players/a28eac7e/Lucas-Barbosa"
"702",NA,"2023 Coritiba","","Jesé","ESP","MF","29",1.1,1,4,2,50,3.75,1.87,0.25,0.5,16.1,0,0,0,0.3,0.3,0.07,0.7,0.7,"https://fbref.com/en/players/4a537185/Jese"
"703",NA,"2023 Coritiba","","Lucas Ronier","BRA","FW,MF","18",0.6,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/d831b6f1/Lucas-Ronier"
