"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","PlayerURL"
"35",NA,"2023 Grêmio","","Gabriel Chapecó","BRA","GK","22",31,908,805,903,6,0,0,908,0,0,NA,0,NA,386,2224,1637,0,1,1,0,0,230,0,"https://fbref.com/en/players/a24714b4/Gabriel-Chapeco"
"36",NA,"2023 Grêmio","","Franco Cristaldo","ARG","MF,FW","26",23.7,1502,11,130,737,646,66,1498,32,20,62.5,9,28.1,844,3289,1369,23,33,7,54,37,1063,142,"https://fbref.com/en/players/25b26e2e/Franco-Cristaldo"
"37",NA,"2023 Grêmio","","Reinaldo","BRA","DF","33",29.8,1964,109,419,829,732,37,1963,44,22,50,19,43.2,927,4736,2417,41,35,5,33,17,1050,143,"https://fbref.com/en/players/ab3edc87/Reinaldo"
"38",NA,"2023 Grêmio","","Mathías Villasanti","PAR","MF","26",29.4,1717,84,359,1056,326,25,1717,52,21,40.4,26,50,913,4245,2022,32,32,7,39,19,1004,32,"https://fbref.com/en/players/05b642f7/Mathias-Villasanti"
"39",NA,"2023 Grêmio","","Walter Kannemann","ARG","DF","31",26.2,1323,174,636,614,77,15,1323,8,3,37.5,3,37.5,605,3069,1764,12,10,2,9,5,680,1,"https://fbref.com/en/players/5b37f2f8/Walter-Kannemann"
"40",NA,"2023 Grêmio","","Bruno Fabiano Alves","BRA","DF","31",27.2,1151,159,607,522,26,13,1151,5,5,100,0,0,595,2731,1453,6,2,0,4,2,650,1,"https://fbref.com/en/players/3e0cfaf4/Bruno-Fabiano-Alves"
"41",NA,"2023 Grêmio","","João Pedro","BRA","DF","26",23.1,1265,62,319,616,343,27,1265,61,35,57.4,21,34.4,658,4165,2264,60,47,12,25,15,725,68,"https://fbref.com/en/players/31d1ed52/Joao-Pedro"
"42",NA,"2023 Grêmio","","Felipe Carballo","URU","MF","26",17.1,960,35,181,580,213,18,960,27,14,51.9,12,44.4,545,2853,1427,23,29,0,15,14,668,45,"https://fbref.com/en/players/a9af351a/Felipe-Carballo"
"43",NA,"2023 Grêmio","","Bitelo","BRA","MF,FW","23",17.2,1049,22,138,506,420,64,1049,46,21,45.7,19,41.3,669,3131,1611,39,35,10,49,28,759,132,"https://fbref.com/en/players/d4b69f94/Bitelo"
"44",NA,"2023 Grêmio","","Bruno Uvini","BRA","DF","31",16.1,683,101,298,342,44,24,683,1,1,100,0,0,287,1148,550,3,3,0,4,1,329,1,"https://fbref.com/en/players/ecfe4300/Bruno-Uvini"
