"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","PlayerURL"
"43",NA,"2023 Grêmio","","Bitelo","BRA","MF,FW","23",17.2,660,819,80.6,9048,2888,406,462,87.9,177,217,81.6,33,57,57.9,1,3.8,3.6,-2.8,38,67,28,5,92,"https://fbref.com/en/players/d4b69f94/Bitelo"
"44",NA,"2023 Grêmio","","Bruno Uvini","BRA","DF","31",16.1,390,516,75.6,6662,2565,160,207,77.3,194,233,83.3,24,53,45.3,0,0.7,0.5,-0.7,3,25,1,0,39,"https://fbref.com/en/players/ecfe4300/Bruno-Uvini"
"45",NA,"2023 Grêmio","","João Pedro Pepê","BRA","MF","25",15.5,657,775,84.8,10716,3703,317,351,90.3,257,288,89.2,58,91,63.7,1,0.6,0.9,0.4,9,75,8,3,87,"https://fbref.com/en/players/d75471eb/Joao-Pedro-Pepe"
"46",NA,"2023 Grêmio","","Fábio","BRA","DF,MF","32",9.7,361,476,75.8,5469,2411,210,235,89.4,120,173,69.4,22,49,44.9,2,0.8,1.3,1.2,12,25,16,11,42,"https://fbref.com/en/players/bc7b4580/Fabio"
"47",NA,"2023 Grêmio","","João Pedro","ITA","FW","30",6.8,85,125,68,1130,236,62,78,79.5,15,27,55.6,6,10,60,1,0.3,0.1,0.7,5,3,2,1,6,"https://fbref.com/en/players/81255c03/Joao-Pedro"
"48",NA,"2023 Grêmio","","Everton","BRA","FW,MF","25",13.5,322,410,78.5,4644,1261,184,216,85.2,101,124,81.5,19,27,70.4,2,1.1,1.2,0.9,20,30,17,1,50,"https://fbref.com/en/players/3b66e70c/Everton"
"49",NA,"2023 Grêmio","","Rodrigo Ely","BRA","DF","29",7.4,156,206,75.7,3126,1391,53,59,89.8,77,88,87.5,25,51,49,0,0.1,0,-0.1,1,7,0,0,7,"https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely"
"50",NA,"2023 Grêmio","","Vinícius","BRA","FW","31",7.3,285,351,81.2,4695,1450,142,159,89.3,103,124,83.1,28,39,71.8,0,1,0.8,-1,8,38,12,2,44,"https://fbref.com/en/players/ee01c84d/Vinicius"
"51",NA,"2023 Grêmio","","Nathan","BRA","MF,FW","26",7.6,260,318,81.8,3898,850,145,164,88.4,86,104,82.7,17,28,60.7,1,1.1,0.9,-0.1,13,26,5,0,39,"https://fbref.com/en/players/fa00f0c9/Nathan"
"52",NA,"2023 Grêmio","","Ferreira","BRA","FW,MF","25",12.7,416,523,79.5,6582,1935,243,279,87.1,129,154,83.8,35,54,64.8,3,2.3,2.4,0.7,17,33,27,1,61,"https://fbref.com/en/players/1414e902/Ferreira"
"53",NA,"2023 Grêmio","","Pedro Geromel","BRA","DF","37",5.2,195,232,84.1,3868,1486,53,56,94.6,120,132,90.9,22,40,55,0,0,0,0,0,4,0,0,7,"https://fbref.com/en/players/78f81520/Pedro-Geromel"
"54",NA,"2023 Grêmio","","Gustavo Martins Santos","BRA","DF,MF","20",7.7,360,436,82.6,6979,2650,116,138,84.1,199,221,90,39,61,63.9,1,0.2,0.3,0.8,2,30,3,0,41,"https://fbref.com/en/players/ae03ce49/Gustavo-Martins-Santos"
"55",NA,"2023 Grêmio","","Cuiabano","BRA","DF,MF","19",5.4,132,224,58.9,2188,861,73,95,76.8,38,63,60.3,18,40,45,0,0.2,0.2,-0.2,3,9,4,1,16,"https://fbref.com/en/players/7e49bdbd/Cuiabano"
"56",NA,"2023 Grêmio","","Ronald","BRA","MF","19",4.6,212,250,84.8,3691,1000,88,101,87.1,104,117,88.9,16,21,76.2,0,0.3,0.4,-0.3,5,19,1,0,21,"https://fbref.com/en/players/5334ff3f/Ronald"
"57",NA,"2023 Grêmio","","Lucas Besozzi","ARG","FW,MF","20",4.4,149,195,76.4,1753,453,111,126,88.1,27,36,75,3,10,30,1,0.4,0.5,0.6,6,11,5,0,23,"https://fbref.com/en/players/d8dcc840/Lucas-Besozzi"
"58",NA,"2023 Grêmio","","Diogo Barbosa","BRA","DF","30",4.3,156,210,74.3,2015,975,101,117,86.3,47,68,69.1,3,10,30,0,0.2,0.2,-0.2,3,10,4,1,17,"https://fbref.com/en/players/7b9ef26b/Diogo-Barbosa"
